/content/drive/MyDrive/hzm/bjtu-gpa-2d-object-detection
/content/drive/MyDrive/hzm/bjtu-gpa-2d-object-detection/layers/modules/l2norm.py:17: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  init.constant(self.weight,self.gamma)
Loading base network...
Initializing weights...
train.py:210: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  init.xavier_uniform(param)
Loading the dataset...
Training SSD on: VOC0712
Using the specified args:
Namespace(basenet='vgg16_reducedfc.pth', batch_size=64, cuda=True, dataset='VOC', dataset_root='data/VOCdevkit', gamma=0.1, lr=0.001, momentum=0.9, num_workers=0, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005)
/content/drive/MyDrive/hzm/bjtu-gpa-2d-object-detection/utils/augmentations.py:374: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray.
  mode = random.choice(self.sample_options)
/usr/local/lib/python3.7/dist-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
timer: 10.1814 sec.
iter 1220 || Loss: 5.6375 || timer: 0.3836 sec.
iter 1230 || Loss: 5.0157 || timer: 0.3848 sec.
iter 1240 || Loss: 5.1605 || timer: 0.3836 sec.
iter 1250 || Loss: 5.2518 || timer: 0.3892 sec.
iter 1260 || Loss: 5.2011 || timer: 0.3845 sec.
iter 1270 || Loss: 5.3804 || timer: 0.3827 sec.
iter 1280 || Loss: 5.4906 || timer: 0.3849 sec.
iter 1290 || Loss: 5.4107 || timer: 0.3856 sec.
iter 1300 || Loss: 5.1706 || timer: 0.3828 sec.
iter 1310 || Loss: 5.2983 || timer: 0.3825 sec.
iter 1320 || Loss: 5.7596 || timer: 0.3852 sec.
iter 1330 || Loss: 5.0596 || timer: 0.3824 sec.
iter 1340 || Loss: 5.0171 || timer: 0.3828 sec.
iter 1350 || Loss: 5.2183 || timer: 0.3855 sec.
iter 1360 || Loss: 5.0929 || timer: 0.3831 sec.
iter 1370 || Loss: 4.9690 || timer: 0.3833 sec.
iter 1380 || Loss: 5.0862 || timer: 0.3857 sec.
iter 1390 || Loss: 4.8452 || timer: 0.3908 sec.
iter 1400 || Loss: 5.1162 || timer: 0.3827 sec.
iter 1410 || Loss: 5.1462 || timer: 0.3832 sec.
iter 1420 || Loss: 4.9420 || timer: 0.3835 sec.
iter 1430 || Loss: 4.9233 || timer: 0.3836 sec.
iter 1440 || Loss: 4.8936 || timer: 0.3838 sec.
iter 1450 || Loss: 4.8462 || timer: 0.3839 sec.
iter 1460 || Loss: 5.1021 || timer: 0.3877 sec.
iter 1470 || Loss: 5.0665 || timer: 0.3841 sec.
iter 1480 || Loss: 4.9399 || timer: 0.3833 sec.
iter 1490 || Loss: 5.0747 || timer: 0.1463 sec.
iter 1500 || Loss: 5.0331 || timer: 0.3860 sec.
iter 1510 || Loss: 4.8367 || timer: 0.3845 sec.
iter 1520 || Loss: 4.9369 || timer: 0.3833 sec.
iter 1530 || Loss: 5.0782 || timer: 0.3843 sec.
iter 1540 || Loss: 5.3082 || timer: 0.3840 sec.
iter 1550 || Loss: 5.3853 || timer: 0.3877 sec.
iter 1560 || Loss: 5.3181 || timer: 0.3831 sec.
iter 1570 || Loss: 5.0466 || timer: 0.3877 sec.
iter 1580 || Loss: 4.8321 || timer: 0.3869 sec.
iter 1590 || Loss: 4.6438 || timer: 0.3859 sec.
iter 1600 || Loss: 5.0966 || timer: 0.3821 sec.
iter 1610 || Loss: 4.8774 || timer: 0.3869 sec.
iter 1620 || Loss: 5.0390 || timer: 0.3853 sec.
iter 1630 || Loss: 5.1056 || timer: 0.3846 sec.
iter 1640 || Loss: 4.6949 || timer: 0.3866 sec.
iter 1650 || Loss: 4.9323 || timer: 0.3922 sec.
iter 1660 || Loss: 4.5268 || timer: 0.3847 sec.
iter 1670 || Loss: 4.8755 || timer: 0.3832 sec.
iter 1680 || Loss: 4.9665 || timer: 0.3895 sec.
iter 1690 || Loss: 4.8372 || timer: 0.3854 sec.
iter 1700 || Loss: 4.8262 || timer: 0.3862 sec.
iter 1710 || Loss: 4.7925 || timer: 0.3834 sec.
iter 1720 || Loss: 4.9743 || timer: 0.3837 sec.
iter 1730 || Loss: 4.6567 || timer: 0.3834 sec.
iter 1740 || Loss: 4.7590 || timer: 0.3820 sec.
iter 1750 || Loss: 4.5766 || timer: 0.3893 sec.
iter 1760 || Loss: 5.0566 || timer: 0.3832 sec.
iter 1770 || Loss: 4.9383 || timer: 0.3872 sec.
iter 1780 || Loss: 4.8123 || timer: 0.3848 sec.
iter 1790 || Loss: 4.9848 || timer: 0.3844 sec.
iter 1800 || Loss: 5.2996 || timer: 0.3843 sec.
iter 1810 || Loss: 4.7919 || timer: 0.3843 sec.
iter 1820 || Loss: 5.0386 || timer: 0.3886 sec.
iter 1830 || Loss: 4.8690 || timer: 0.3848 sec.
iter 1840 || Loss: 4.6130 || timer: 0.3828 sec.
iter 1850 || Loss: 4.7236 || timer: 0.3823 sec.
iter 1860 || Loss: 4.5318 || timer: 0.3828 sec.
iter 1870 || Loss: 4.7130 || timer: 0.3868 sec.
iter 1880 || Loss: 5.1077 || timer: 0.3918 sec.
iter 1890 || Loss: 4.8871 || timer: 0.3846 sec.
iter 1900 || Loss: 4.5519 || timer: 0.3854 sec.
iter 1910 || Loss: 4.5477 || timer: 0.3838 sec.
iter 1920 || Loss: 4.8993 || timer: 0.3830 sec.
iter 1930 || Loss: 4.7511 || timer: 0.3821 sec.
iter 1940 || Loss: 4.7208 || timer: 0.3856 sec.
iter 1950 || Loss: 4.7553 || timer: 0.3838 sec.
iter 1960 || Loss: 4.6562 || timer: 0.3852 sec.
iter 1970 || Loss: 5.0147 || timer: 0.3849 sec.
iter 1980 || Loss: 4.7074 || timer: 0.3848 sec.
iter 1990 || Loss: 4.8349 || timer: 0.3871 sec.
iter 2000 || Loss: 4.8617 || timer: 0.3845 sec.
iter 2010 || Loss: 4.5444 || timer: 0.3882 sec.
iter 2020 || Loss: 4.5925 || timer: 0.3819 sec.
iter 2030 || Loss: 4.4012 || timer: 0.3860 sec.
iter 2040 || Loss: 4.9496 || timer: 0.3816 sec.
iter 2050 || Loss: 4.7591 || timer: 0.3847 sec.
iter 2060 || Loss: 4.8003 || timer: 0.3855 sec.
iter 2070 || Loss: 4.4403 || timer: 0.3854 sec.
iter 2080 || Loss: 4.4516 || timer: 0.3869 sec.
iter 2090 || Loss: 4.7101 || timer: 0.3867 sec.
iter 2100 || Loss: 4.4972 || timer: 0.3872 sec.
iter 2110 || Loss: 4.7012 || timer: 0.3872 sec.
iter 2120 || Loss: 4.6353 || timer: 0.3834 sec.
iter 2130 || Loss: 4.5843 || timer: 0.3842 sec.
iter 2140 || Loss: 4.6255 || timer: 0.3850 sec.
iter 2150 || Loss: 4.4126 || timer: 0.3826 sec.
iter 2160 || Loss: 4.7635 || timer: 0.3838 sec.
iter 2170 || Loss: 4.6031 || timer: 0.3841 sec.
iter 2180 || Loss: 5.0342 || timer: 0.3881 sec.
iter 2190 || Loss: 4.6348 || timer: 0.3855 sec.
iter 2200 || Loss: 4.7688 || timer: 0.3852 sec.
iter 2210 || Loss: 4.4593 || timer: 0.3857 sec.
iter 2220 || Loss: 4.6417 || timer: 0.3844 sec.
iter 2230 || Loss: 4.7371 || timer: 0.3836 sec.
iter 2240 || Loss: 4.5753 || timer: 0.3848 sec.
iter 2250 || Loss: 4.3899 || timer: 0.3833 sec.
iter 2260 || Loss: 4.5342 || timer: 0.3858 sec.
iter 2270 || Loss: 4.3947 || timer: 0.3824 sec.
iter 2280 || Loss: 4.3869 || timer: 0.1459 sec.
iter 2290 || Loss: 4.6712 || timer: 0.3844 sec.
iter 2300 || Loss: 4.2504 || timer: 0.3857 sec.
iter 2310 || Loss: 4.3468 || timer: 0.3804 sec.
iter 2320 || Loss: 4.4993 || timer: 0.3860 sec.
iter 2330 || Loss: 4.8237 || timer: 0.3855 sec.
iter 2340 || Loss: 4.6120 || timer: 0.3840 sec.
iter 2350 || Loss: 4.5727 || timer: 0.3860 sec.
iter 2360 || Loss: 4.5743 || timer: 0.3849 sec.
iter 2370 || Loss: 4.5727 || timer: 0.3833 sec.
iter 2380 || Loss: 4.2377 || timer: 0.3899 sec.
iter 2390 || Loss: 4.4262 || timer: 0.3835 sec.
iter 2400 || Loss: 4.4887 || timer: 0.3855 sec.
iter 2410 || Loss: 4.2029 || timer: 0.3861 sec.
iter 2420 || Loss: 4.5090 || timer: 0.3858 sec.
iter 2430 || Loss: 4.6675 || timer: 0.3823 sec.
iter 2440 || Loss: 3.8268 || timer: 0.3902 sec.
iter 2450 || Loss: 4.4592 || timer: 0.3853 sec.
iter 2460 || Loss: 4.1473 || timer: 0.3854 sec.
iter 2470 || Loss: 4.7517 || timer: 0.3850 sec.
iter 2480 || Loss: 4.2180 || timer: 0.3803 sec.
iter 2490 || Loss: 4.4261 || timer: 0.3848 sec.
iter 2500 || Loss: 4.7712 || timer: 0.3841 sec.
iter 2510 || Loss: 4.6105 || timer: 0.3827 sec.
iter 2520 || Loss: 4.3114 || timer: 0.3858 sec.
iter 2530 || Loss: 4.1798 || timer: 0.3852 sec.
iter 2540 || Loss: 4.3583 || timer: 0.3830 sec.
iter 2550 || Loss: 4.0582 || timer: 0.3850 sec.
iter 2560 || Loss: 4.3963 || timer: 0.3830 sec.
iter 2570 || Loss: 4.6566 || timer: 0.3830 sec.
iter 2580 || Loss: 4.6409 || timer: 0.3824 sec.
iter 2590 || Loss: 4.4773 || timer: 0.3867 sec.
iter 2600 || Loss: 3.8524 || timer: 0.3842 sec.
iter 2610 || Loss: 4.3947 || timer: 0.3860 sec.
iter 2620 || Loss: 4.5541 || timer: 0.3830 sec.
iter 2630 || Loss: 4.2815 || timer: 0.3849 sec.
